State;Medicaid Expansion State?        Yes (Y) or No (N)1;2013 Uninsured;;2014 Uninsured;;2015 Uninsured;;2016 Uninsured;;Difference in Uninsured;;;;;
South Carolina……………………;N;15,8;0,4;13,6;0,4;10,9;0,3;10,0;0,3;*-0.9;0,4;*-5.8;0,5;;
South Dakota………………………;N;11,3;0,7;9,8;0,5;10,2;0,6;8,7;0,5;*-1.5;0,8;*-2.5;0,8;;
Tennessee…………………………..;N;13,9;0,3;12,0;0,3;10,3;0,3;9,0;0,2;*-1.2;0,4;*-4.8;0,4;;
Texas……………………………………..;N;22,1;0,2;19,1;0,2;17,1;0,2;16,6;0,2;*-0.5;0,3;*-5.5;0,3;;
Utah………………………………………..;N;14,0;0,5;12,5;0,5;10,5;0,5;8,8;0,4;*-1.7;0,6;*-5.2;0,6;;
Vermont………………………………..;Y;7,2;0,6;5,0;0,4;3,8;0,4;3,7;0,4;-0.1;0,5;*-3.5;0,7;;
Virginia…………………………………..;N;12,3;0,3;10,9;0,3;9,1;0,3;8,7;0,3;*-0.4;0,4;*-3.6;0,4;;
Washington………………………….;Y;14,0;0,3;9,2;0,2;6,6;0,2;6,0;0,2;*-0.7;0,3;*-8.0;0,4;;
West Virginia……………………….;Y;14,0;0,5;8,6;0,4;6,0;0,4;5,3;0,3;*-0.6;0,5;*-8.7;0,6;;
Wisconsin…………………………….;N;9,1;0,2;7,3;0,2;5,7;0,2;5,3;0,2;*-0.4;0,2;*-3.9;0,3;;
Wyoming……………………………….;N;13,4;0,9;12,0;0,8;11,5;1,0;11,5;1,0;Z;1,4;*-1.9;1,3;;
